"Интервал дат визита","Визиты","Посетители","Просмотры","Доля новых посетителей","Отказы","Глубина просмотра","Время на сайте"
"2025-12-08","188","178","247","0.8707865168539325","0.7553191489361702","1.3138297872340425","00:01:09"
"2025-12-10","188","177","273","0.8813559322033897","0.723404255319149","1.452127659574468","00:01:58"
"2025-12-27","184","176","268","0.8806818181818182","0.6793478260869565","1.4565217391304348","00:01:12"
"2025-12-18","181","166","275","0.8313253012048193","0.6906077348066298","1.5193370165745856","00:02:08"
"2025-12-21","177","162","281","0.839506172839506","0.6779661016949151","1.5875706214689265","00:01:48"
"2025-12-04","176","167","238","0.8802395209580838","0.7272727272727273","1.3522727272727273","00:00:42"
"2025-12-22","176","166","241","0.8493975903614458","0.7670454545454546","1.3693181818181819","00:00:51"
"2025-12-20","174","161","259","0.8385093167701864","0.6781609195402298","1.4885057471264367","00:01:54"
"2026-01-21","173","160","208","0.88125","0.7514450867052023","1.2023121387283238","00:00:52"
"2025-11-20","169","155","238","0.864516129032258","0.757396449704142","1.4082840236686391","00:01:34"
"2025-11-17","167","154","240","0.8116883116883116","0.7425149700598801","1.437125748502994","00:01:50"
"2026-01-23","163","158","227","0.8987341772151899","0.7177914110429449","1.392638036809816","00:01:06"
"2025-12-25","160","144","242","0.8472222222222221","0.75625","1.5125","00:01:11"
"2026-01-20","153","145","209","0.8344827586206897","0.6797385620915033","1.3660130718954249","00:01:42"
"2025-12-19","144","134","181","0.835820895522388","0.7708333333333335","1.2569444444444444","00:01:07"
